Designator,Mid X,Mid Y,Layer,Rotation
C1,148.562500mm,-92.400000mm,Top,0
C2,149.400000mm,-96.700000mm,Top,90
C3,129.650000mm,-95.100000mm,Top,0
C4,135.100000mm,-95.600000mm,Top,180
C5,143.000000mm,-96.800000mm,Top,90
C7,127.900000mm,-104.500000mm,Top,0
C9,137.500000mm,-96.300000mm,Top,270
D1,149.050000mm,-101.900000mm,Top,180
D2,134.100000mm,-103.350000mm,Top,0
D3,128.400000mm,-85.600000mm,Top,270
J2,133.800000mm,-84.000000mm,Top,0
Q1,135.800000mm,-100.300000mm,Top,180
R1,140.900000mm,-92.100000mm,Top,90
R2,142.400000mm,-92.100000mm,Top,90
R3,135.087500mm,-97.100000mm,Top,180
R4,149.050000mm,-103.600000mm,Top,180
R5,139.900000mm,-95.600000mm,Top,180
R6,137.700000mm,-103.350000mm,Top,0
R7,139.900000mm,-97.100000mm,Top,180
R8,148.400000mm,-94.200000mm,Top,0
U1,142.200000mm,-112.600000mm,Top,180
U2,129.700000mm,-110.100000mm,Top,90
U3,146.200000mm,-96.700000mm,Top,180
Y1,135.900000mm,-91.850000mm,Top,90
